id,english_common_name,flower_count,flower_ids,botanical_names,mothers_names
257,Jacobs-coat,3,222; 223; 225,Acalypha wilkesiana Muell. Arg. 'Godseffiana'; Acalypha wilkesiana Muell. Arg.; Acalypha godseffiana hort. Sander ex Mast.,Attempt towards continuity; Vital continuity; Material continuity
258,Jambu mawar,1,450,Syzygium jambos (L.) Alston.,Mastery
259,Japanese flowering cherry,1,520,Prunus serrulata Lindl.,Smile of beauty
260,Japanese snowball,1,311,Viburnum plicatum Thunb. forma plicatum,Collective purity
261,Jasmine,2,302; 303,Jasminum L. spp.,Purity; Psychic purity
262,Java glory bean,1,369,Clerodendrum Xspeciosum Dombr.,Aspiration for the right attitude
263,Javanese ixora,1,129,Ixora javanica (Blume) DC. [I. singaporensis hort.],Aspiration in the physical for the supramental light
264,Jessamine,2,302; 303,Jasminum L. spp.,Purity; Psychic purity
265,Jew's apple,1,409,Solanum melongena L.,Fearlessness in the vital
266,Jewels of Opar,1,789,Talinum paniculatum (Jacq.) Gaertn.,Vital fantasy
267,Joseph's coat,1,510,Alternanthera Forsk. spp.,Integral immortality
268,Joyweed,1,510,Alternanthera Forsk. spp.,Integral immortality
269,Jungle geranium,1,127,Ixora coccinea L.,Mental aspiration
270,Kaffir lily,1,482,Clivia miniata Regel.,Conversion of the aim of life from the ego to the divine
271,Kamani,1,644,Terminalia catappa L.,Spiritual aspiration
272,Knight's star lily,8,483; 484; 485; 486; 487; 488; 489; 490,Hippeastrum Herb. spp.,Conversion; Conversion of the mind; Conversion of the physical mind; Conversion of the emotional being; Conversion of the vital; Conversion of the physical; Integral conversion; Integral conversion with the help of the psychic
273,Knights star lily,1,491,Hippeastrum Herb. spp.,Total conversion
274,Knotted marjoram,1,492,Origanum majorana L.,New birth
275,Knotweed,1,760,Polygonum L. spp.,Vital aspiration for union with the divine
276,Ladies' delight,1,723,Viola Xwittrockiana Gams.,Integrally pure thoughts
277,Large-flowered magnolia,1,417,Magnolia grandiflora L.,Perfect vigilance
278,Laurelwood,1,805,Calophyllum inophyllum L.,Peace in the physical
279,Lead tree,1,451,Leucaena leucocephala (Lam.) De Wit.,Knowledge
280,Leaf cactus,1,424,Pereskia Mill. sp.,Never tell a lie
281,Leather flower,1,419,Clematis L. sp.,Sentry
282,Life plant,1,861,Kalanchoe pinnata (Lam.) Pers.,Light in fairyland
283,Lilac,1,530,Syringa L. spp.,Distinction
284,Lily of the valley,1,307,Convallaria majalis L.,Power of purity
285,Ling,1,843,Calluna vulgaris (L.) Hull.,Blossoming of nature
286,Lipstick tree,1,047,Bixa orellana L.,New world
287,Lobster claw,1,864,Heliconia L. sp.,Bird of paradise
288,Logwood,1,863,Haematoxylum campechianum L.,Fairy freshness
289,Love-lies-bleeding,1,752,Amaranthus caudatus L.,Illumined strength in the vital
290,Madagascar periwinkle,3,283; 284; 289,Catharanthus roseus (L.) G. Don. [Vincarosea L]; Catharanthus roseus (L.) G. Don. [Vinca rosea L.]; Catharanthus roseus (L.) G. Don. 'Albus' [Vinca rosea L.],Progress; Uninterrupted but spasmodic progress; Integral progress
291,Madar,1,404,Calotropis gigantea (L.) Ait. f.,Integral courage
292,Madonna lily,1,306,Lilium candidum L.,"Purity arising from perfect, consecration"
293,Madre de cacao,1,532,Gliricidia sepium (Jacq.) Kunth ex Walp.,Refinement of habits
294,Malabar plum,1,450,Syzygium jambos (L.) Alston.,Mastery
295,Mango,1,847,Mangifera indica L.,Divine knowledge
296,Maple,1,120,Acer L. spp.,Flame of aspiration
297,Maple-leaved bayur,1,640,Pterospermum acerifolium (L.) Willd.,Realisation of supramental riches
298,Margosa,1,649,Azadirachta indica A. Juss.,Spiritual atmosphere
299,Marguerite,1,848,Leucanthemum vulgare Lam. [Chrysanthemum leucanthemum L.],Spontaneous aspiration of nature towards the divine
300,Marigold,1,397,Tagetes L. spp.,Plasticity
301,Marvel of Peru,4,018; 019; 020; 021,Mirabilis jalapa L.,Solace; Solace in the mind; Solace in the vital; Integral solace
302,Matal,2,687; 688,Asclepias curassavica L.,Response of the mind to the supramental light; Response of the physical mind to the supramental light
303,Mealy sage,1,886,Salvia farinacea Benth.,Krishna's light in the overmind
304,Mexican bush sage,1,646,Salvia leucantha Cav.,The vital consenting to be spiritualised
305,Mexican shrimp plant,1,662,Justicia brandegeana Wassh. & L.B. Sm.,Thirst for perfection
306,Mexican sunflower,1,557,Tithonia diversifolia (Hemsl.) A. Gray.,First movement of riches towards the divine
307,Mignonette,1,339,Reseda odorata L.,Benevolence
308,Mignonette tree,1,396,Lawsonia inermis L.,Energy turned towards the divine
309,Mimosa bush,1,453,Acacia farnesiana (L.) Willd.,Supramental knowledge
310,Mistletoe,1,035,Viscum album L.,Sign of the spirit
311,Monkey pod,1,455,Albizia saman F. Muell. [Samanea saman (Jacq.) Merrill.],Wisdom
312,Monkey-faced pansy,1,745,Achimenes grandiflora Schiede.,Silence in the vital
313,Moon cereus,1,563,Selenicereus (A. Berger) Britt. & Rose. spp.,Supramental riches
314,Moon daisy,1,848,Leucanthemum vulgare Lam. [Chrysanthemum leucanthemum L.],Spontaneous aspiration of nature towards the divine
315,Moreton Bay chestnut,1,690,Castanospermum australe A. Cunn. & C. Fraser.,Mind of light acting in matter
316,Morning glory,2,522; 842,Ipomoea tricolor Cav. 'Scarlet O'Hara'; Ipomoea L. spp.,Joy of beauty; Nature makes an offering other beauty
317,Moss rose,1,014,Portulaca grandiflora Hook.,Sri Aurobindo's compassion
318,Moss verbena,3,780; 781; 782,Verbena tenuisecta Briq.,Aspiration for the conquest of enemies in the vital; Will to conquer vital enemies; Conquest over vital enemies
319,Moth orchid,1,071,Asystasia gangetica (L.) Anderson. [A. coromandeliana Nees.],Trust in the divine
320,Mother-in-law's tongue,1,656,Sansevieria Thunb. spp.,Joy of spirituality
321,Mountain thistle,1,773,Acanthus montanns (Nees) Anderson.,The emotions awake to the first contact with the divine
322,Mournful widow,2,022; 023,Scabiosa atropurpurea L.,Blessings; Blessings on the material world
323,Mudar,1,404,Calotropis gigantea (L.) Ait. f.,Integral courage
324,Mungo tree,1,439,Parkia pedunculata (Roxb.) Macbr. [P. biglandulosa Wight & Am.],Boastfulness
325,Nap at noon,1,314,Ornithogalum umbellatum L.,Beauty in collective simplicity
326,Nasturtium,4,039; 040; 042a; 042b,Tropaeolum majus L.,Promise of realisation; Promise of realisation in the mind; Promise of realisation in the physical
327,Native hops,1,868,Dodonaea viscosa (L.) Jacq.,Psychic awakening in matter
328,Neem,1,649,Azadirachta indica A. Juss.,Spiritual atmosphere
329,Nepal trumpet flower,1,202,Beaumontia jerdoniana Wight.,Unselfishness
330,Nerve plant,1,212,Fittonia verschaffeltii var. argyroneura (Coem.) Nichols.,Application
331,Nicaraguan cocoa-shade,1,532,Gliricidia sepium (Jacq.) Kunth ex Walp.,Refinement of habits
332,Night-blooming cereus,1,563,Selenicereus (A. Berger) Britt. & Rose. spp.,Supramental riches
333,Nittu tree,1,439,Parkia pedunculata (Roxb.) Macbr. [P. biglandulosa Wight & Am.],Boastfulness
334,Old maid,2,283; 289,Catharanthus roseus (L.) G. Don. [Vincarosea L]; Catharanthus roseus (L.) G. Don. 'Albus' [Vinca rosea L.],Progress; Integral progress
335,Oleander,4,725; 726; 728; 729,Nerium oleander L.,Contemplation of the divine; Quiet mind; Perfect quietness in the mind; Turning of wrong movements into right movements
336,Orange jessamine,1,744,Murray a paniculata (L.) Jack.,Peace in the vital
337,Orchid,7,059; 060; 061; 062; 063; 067; 069,Cattleya Lindl.; Cattleya Lindl. spp.; Dendrobium moschatum Swartz.; Papilionanthe teres (Roxb.) Schltr. [Vanda teres (Roxb.) Lindl.]; Spathoglottis plicata Bl.; Eulophia R. Br. ex Lindl. spp.,Attachment to the divine; The aim of existence is realised; Beauty of attachment to the divine; Mental attachment to the divine; Emotional attachment to the divine; Integral attachment to the divine; Exclusive turning of all movements towards the divine
338,Orchid tree,1,743,Bauhinia purpurea L. not hort.,Stability in the higher vital
339,Orchids,1,058,Orchidaceae,Attachment to the divine
340,Oriental cherry,1,520,Prunus serrulata Lindl.,Smile of beauty
341,Ox-eye daisy,1,848,Leucanthemum vulgare Lam. [Chrysanthemum leucanthemum L.],Spontaneous aspiration of nature towards the divine
342,Oyster plant,1,004,Tradescantia spathacea Sw. \Rhoeo spathacea (Swartz) Steam.],Divine presence
343,Painkiller,1,817,Morinda citrifolia L. non Bedd.,Peace in the sex centre
344,Painted nettle,1,754,Solenostemon scutellarioides (L.) Codd. [Coleus Xhybridus Voss.],Spiritual awakening of the vital
345,Palas,1,636,Butea monosperma (Lam.) Taub. [B. frondosaRoxb. ex Willd.],Beginning of the supramental realisation
346,Pandanus palm,1,657,Pandanus tectorius Parkins.,Spiritual perfume
347,Pansy,1,723,Viola Xwittrockiana Gams.,Integrally pure thoughts
348,Paprika,1,797,Capsicum annuum L. var. annuum,A whipping
349,Paradise flower,1,716,Caesalpinia pulcherrima (L.) Sw.,Fire in the mind
350,Parlor maple,2,036; 037,Abutilon Xhybridum hort.; Abutilon indicum (L.) Sweet.,Promise; Mental promise
351,Passion flower,2,252; 321,Passiflora vitifolia HBK.; Passiflora L. incarnata Xcincinnata 'Incense',Power aspiring to become an instrument for the divine work; Silence
352,Peacock flower,1,494,Delonix regia (Bojer) Raf.,Realisation
353,Pelican flower,1,461,Aristolochia ringens Vahl. non Link & Otto.,Lasting inspiration
354,Peony,1,526,Paeonia L. spp.,Beauty in art
355,Peregrina,1,853,Jatropha integerrima Jacq.,Awakening and first response of nature to the supramental manifestation
356,Persian shield,1,241,Strobilanthes kunthianus T. Anders.,Power of perfect endurance
357,Persian violet,1,858,Cyclamen purpurascens Mill.,Scented marvel
358,Petunia,13,373; 374; 375; 376; 377; 378a; 378b; 381; 382; 385; 386; 387; 388,Petunia Xhybrida hort. Vilm.-Andr.; Petunia Xhybrida hort. Vilm.-Andr..,Enthusiasm; Cheerful enthusiasm; Enthusiasm in action; Cheerful enthusiasm in action; Psychic enthusiasm; Cheerful psychic enthusiasm; Vital enthusiasm; Cheerful vital enthusiasm; Physical enthusiasm; Cheerful physical enthusiasm; Integral enthusiasm; Cheerful integral enthusiasm
359,Philippine violet,3,168; 170; 766,Barleria cristata L.,Opening of the emotional vital; Integral opening of the being to the divine; Elegance in the emotions
360,Pincushion flower,1,023,Scabiosa atropurpurea L.,Blessings on the material world
361,Pink porcelain lily,1,436,Alpinia zerumbet (Pers.) B.L. Burn & Rosemary. M. Sm.,Eloquence
362,Pinwheel flower,3,698; 699; 700,Tabernaemontana divaricata (L.) R. Br. ex Roem. & Schult.; Tabernaemontana divaricata (L.) R. Br. ex Roem. & Schult. 'Flore-pleno',Mental purity; Integral mental purity; Perfect mental purity
363,Polyantha rose,1,108,Rosa Xrehderana Blackb.,Communion with the divine
364,Pomegranate,3,007; 008; 009,Punica granatum L.,Divine love; Divine sacrifice; Divine love spreading over the world
365,Portia tree,1,827,Thespesia populnea (L.) Sol. exCorr.,Health
366,Powderpuff,1,456,Calliandra Benth. spp.,Striving towards wisdom
367,Powderpuff tree,1,456,Calliandra Benth. spp.,Striving towards wisdom
368,Pride of India,1,086,Lagerstroemia speciosa (L.) Pers. [L. flos-reginae Retz.],Intimacy with universal nature
369,Primrose,1,856,Primula L. spp.,Growth
370,Pummelo,1,205,Citrus maxima (Burm.) Merrill.,Continence
371,Purging cassia,1,712,Cassia fistula L.,Imagination
372,Purple flowers,1,199,Angelonia salicariifolia Humb. & Bonpl.,Renunciation of vital desires
373,Pygmy rose,1,097,Rosa chinensis Jacq. 'Minima,Detailed surrender
374,Pyinma,1,086,Lagerstroemia speciosa (L.) Pers. [L. flos-reginae Retz.],Intimacy with universal nature
375,Queen's crape myrtle,1,086,Lagerstroemia speciosa (L.) Pers. [L. flos-reginae Retz.],Intimacy with universal nature
376,Rain tree,1,455,Albizia saman F. Muell. [Samanea saman (Jacq.) Merrill.],Wisdom
377,Rainbow pink,1,277,Dianthus chinensis L.,Obedience
378,Ramona,1,645,Salvia L. spp.,Aspiration for spirituality
379,Rattlebox,1,787,Crotalaria L. sp.,Formative faculty in the vital
380,Red pepper,1,797,Capsicum annuum L. var. annuum,A whipping
381,Red powderpuff,1,458,Calliandra haematocephala Hassk.,Wisdom in the physical mind
382,Red-hot cattail,1,224,Acalypha hispida Burm. f.,Physical continuity
383,Resurrection lily,1,739,Kaempferia rotunda L.,Vital honesty
384,Rhododendron,1,513,Rhododendron L. spp.,Abundance of beauty
385,Ringworm shrub,1,715,Senna alata (L.) Roxb. [Cassia alata L.j,Idea
386,Rose,5,087; 089; 096; 104; 109,Rosa L.,Love for the divine; Psychic love; Loving surrender; Balance of the nature in the love for the divine; Love from the divine
387,Rose apple,1,450,Syzygium jambos (L.) Alston.,Mastery
388,Rose of-China,1,602,Hibiscus rosa-sinensis L.,Power in the converted mind
389,Rose- of-China,23,569; 575; 577; 586; 587; 592; 593; 596; 599; 600; 604; 605; 606; 607; 608; 609; 610; 611; 614; 615; 616; 617; 618,Hibiscus rosa-sinensis L. 'Daffodil'; Hibiscus rosa-sinensis L.; Hibiscus rosa-sinensis L. Alipore Beauty'; Hibiscus rosa-sinensis L. 'Waimaea'; Hibiscus rosa-sinensis L. 'Dream'; Hibiscus rosa-sinensis L. 'Sweetheart'; Hibiscus rosa-sinensis L. 'White Pink Centre',Supramental consciousness; Beauty of tomorrow; Power of spiritual beauty; Concentration of the new creation (concentration of auroville); Progress of the new creation (progress of auroville); Power of consciousness; Consciousness one with the divine consciousness; Faith; Power of the psychic consciousness; Psychic power in existence; Ananda in the physical; Sweetness of power surrendered to the divine (sweetness of auroville); Light of purified power; Power of integral purity; Power of harmony; Aesthetic power; Dynamic power; Controlled power; Power of perseverance (continued perseverance and action); Power of progress; Power to progress; Power of success (success of auroville); Power of realisation
390,Rose-of-,1,576,Hibiscus rosa-sinensis L.,Beauty of tomorrow manifesting the divine
391,Rose-of- China,1,578,Hibiscus rosa-sinensis L. 'Grace Goo',Victorious beauty
392,Rose-of-China,4,588; 589; 612; 613,Hibiscus rosa-sinensis L. 'Splash'; Hibiscus rosa-sinensis L.; Hibiscus rosa-sinensis L. 'Sebactini',Manifold power of the new creation (manifold power of auroville); Firmness of the new creation; Power of action; Power of effort (effort of auroville)
393,Rosebay,4,725; 726; 728; 729,Nerium oleander L.,Contemplation of the divine; Quiet mind; Perfect quietness in the mind; Turning of wrong movements into right movements
394,Royal poinciana,1,494,Delonix regia (Bojer) Raf.,Realisation
395,Sacred lotus,2,001; 002,Nelumbo nucifera Gaertn. 'Alba'; Nelumbo nucifera Gaertn.,Aditi - the divine consciousness; Avatar - the supreme manifest on earth in a body
396,Sage,1,645,Salvia L. spp.,Aspiration for spirituality
397,Saman,1,455,Albizia saman F. Muell. [Samanea saman (Jacq.) Merrill.],Wisdom
398,Scarlet flame bean,1,011,Brownea coccinea Jacq. corr. Murr.,Divine love governing the world
399,Scarlet orchid,1,068,Epidendrum XObrienianum Rolfe.,Attachment of the cells to the divine
400,Scarlet sage,1,647,Salvia splendens F. Sell. ex Roem. & Schult.,Matter consenting to be spiritualised
401,Scotch broom,1,713,Cytisus scoparius (L.) Link.,Inventions
402,Scots heather,1,843,Calluna vulgaris (L.) Hull.,Blossoming of nature
403,Sensitive plant,1,790,Mimosa pudica L.,Vital sensitivity
404,Sesame,1,355,Sesamum indicum L.,Conciliation
405,Seven golden candlesticks,1,715,Senna alata (L.) Roxb. [Cassia alata L.j,Idea
406,Shaddock,1,205,Citrus maxima (Burm.) Merrill.,Continence
407,Shell ginger,1,436,Alpinia zerumbet (Pers.) B.L. Burn & Rosemary. M. Sm.,Eloquence
408,Shrimp plant,1,662,Justicia brandegeana Wassh. & L.B. Sm.,Thirst for perfection
409,Shrub verbena,3,813; 814; 815,Lantana L. spp.,Light in the cells; Purity in the cells; Emotional beauty in the cells
410,Silk-cotton tree,1,639,Cochlospermum religiosum (L.) Alston.,Success in supramental work
411,Silver net plant,1,212,Fittonia verschaffeltii var. argyroneura (Coem.) Nichols.,Application
412,Slipper orchid,1,074,Asystasia gangetica (L.) Anderson. [A. coromandeliana Nees.],Trust of the vital mind in the divine
413,Smartweed,1,760,Polygonum L. spp.,Vital aspiration for union with the divine
414,Snake plant,2,655; 656,Sansevieria Thunb. spp.,Power of spirituality; Joy of spirituality
415,Snapdragon,5,426; 427; 428; 429; 430,Antirrhinum majus L.,Power of expression; Power of psychic expression; Power of mental expression; Power of vital expression; Power of physical expression
416,Snapdragon Multicoloured flower,2,432a; 432b,Antirrhinum majus L.,Power of manifold expression
417,Snow creeper,1,883,Parana volubilis Burm. f.,Water
418,Snowdrop,1,044,Galanthus nivalis L. 'Viridapicis',Promise of renewal
419,Soap-won,1,143,Saponaria officinalis L.,Right use of the granted grace
420,Sorrowless tree,1,333,Saraca indica L.,Without grief
421,Spanish cherry,1,245,Mimusops elengi L.,Accomplishment
422,Spanish flag,1,282,Ipomoea lobata (Cerv.) Thell. [Mina lobata (Cerv.)],Thirst to learn
423,Spicy jatropha,1,853,Jatropha integerrima Jacq.,Awakening and first response of nature to the supramental manifestation
424,Spider flower,1,119,Cleome hasslerana Chodat.,Elan of aspiration
425,Spider lily,1,479,Hymenocallis Salisb. spp.,Alchemy
426,Spider plant,1,119,Cleome hasslerana Chodat.,Elan of aspiration
427,Sprenger asparagus,1,425,Asparagus densiflorus (Kunth.) Jessop. 'Sprengeri',Spiritual speech
428,Sprengeri,1,425,Asparagus densiflorus (Kunth.) Jessop. 'Sprengeri',Spiritual speech
429,Spurred snapdragon,1,323,Linaria maroccana Hook. f.,Expressive silence
430,Star of Bethlehem,1,314,Ornithogalum umbellatum L.,Beauty in collective simplicity
431,Star-cluster,4,472; 473; 474; 475,Pentas lanceolata (Forssk.) Deflers.; Pentas lanceolata forssk.) Deflers.; Pentas lanceolata (forssk.) Deflers.,Movements in the light; Light in the vital movements; Psychic light in the physical movements; Psychic light in the material movements
432,Starfruit,1,272,Averrhoa carambola L.,Organised team-work
433,Storksbill,1,654,Pelargonium L'Herit. spp.,Spiritual happiness
434,Strawflower,1,638,Helichrysum bracteatum (Vent.) Andrews.,Supramental immortality upon earth
435,Stringybark,1,203,Eucalyptus L'Herit. spp.,Abolition of the ego
436,Summer lilac,1,531,Buddleja davidii Franch.,Refinement
437,Summer snowflake,1,314,Ornithogalum umbellatum L.,Beauty in collective simplicity
438,Summer torch,1,206,Pitcairnia museosa L'Herit.,Control
439,Sun hemp,1,703,Crotalaria juncea L.,Formative faculty in the mind
440,Sunflower,4,464; 465; 466; 635,Helianthus L. spp.; Helianthus L. sp.,Consciousness turned towards the light; Consciousness turned towards the supramental light; Intensity of consciousness in the full supramental light; Supramental artistic genius
441,Swallow wort,2,687; 688,Asclepias curassavica L.,Response of the mind to the supramental light; Response of the physical mind to the supramental light
442,Sweet acacia Scented wattle,1,453,Acacia farnesiana (L.) Willd.,Supramental knowledge
443,Sweet Alison,1,337,Lobularia maritima (L.) Desv.,Goodwill
444,Sweet alyssum,1,337,Lobularia maritima (L.) Desv.,Goodwill
445,Sweet marjoram,1,492,Origanum majorana L.,New birth
446,Sweet pea,2,334; 335,Lathyrus odoratus L.,Gentleness; Vital gentleness
447,Sweet reseda,1,339,Reseda odorata L.,Benevolence
448,Sweet scabius,2,022; 023,Scabiosa atropurpurea L.,Blessings; Blessings on the material world
449,Sweet wattle,1,453,Acacia farnesiana (L.) Willd.,Supramental knowledge
450,Sweet William,1,278,Dianthus barbatus L.,Detailed obedience
451,Sword lily,1,515,Iris L.,Aristocracy of beauty
452,Tail flower,1,820,Anthurium andreanum Andre.,Mastery of sex
453,Tampala,1,406,Amaranthus tricolor L. 'Molten Fire',Bravery
454,Tartogo,1,835,Jatropha podagarica Hook.,First response of the subconscient to the supramental action
455,Teak,1,197,Tectona grandis L. f.,Renunciation of desires
456,Temple tree,4,664; 665; 666; 667,Plumeria rubra L.; Plumeria rubra forma tricolor (Ruiz & Pav.) Woodson.; Plumeria obtusa L.,Psychological perfection; Psychological perfection on the way to fulfilment; Psychological perfection in matter; Integral psychological perfection
457,Terrestrial orchid,1,067,Spathoglottis plicata Bl.,Integral attachment to the divine
458,Thomas tree,1,878,Bauhinia tomentosa L.,Gold
459,Thorn,1,312,Crataegus L. spp.,Spring purity
460,Thorn apple,3,191; 194; 312,Datura L.; Crataegus L. spp.,Tapasya; Integral tapasya; Spring purity
461,Ti,1,114,Cordyline terminalis (L.) Kunth.,Return
462,Tickweed,1,249,Coreopsis tinctoria Nutt.,Cheerfulness in work for the divine
463,Toadflax,1,323,Linaria maroccana Hook. f.,Expressive silence
464,Transvaal daisy,1,423,Gerbera jamesonii H. Bolus ex Hook. f.,Frankness
465,Tree cotton,1,758,Gossypium arboreum L.,Success in the most material vital
466,Trefoil,1,845,Trifolium L. spp.,Kindness of nature
467,Tropical almond,1,644,Terminalia catappa L.,Spiritual aspiration
468,Trumpet bush,1,680,Tecoma Xsmithii Will. Whats. [T. alata DC,Physical mind
469,Tuberose,1,049,Polianthes tuberosa L.,Perfect new creation
470,Turk's cap,2,016; 017,Malvaviscus arboreus Cav. var. mexicana Schildl.,Divine solicitude; Divine solicitude rightly understood
471,Unicorn plant,1,213,Martynia annua L.,Regularity
472,Usambara violet,1,738,Saintpaulia ionantha H. Wendl.,Correct movement
473,Vanda orchid,1,073,Asystasia gangetica (L.) Anderson. [A. coromandeliana Nees.],Mental trust in the divine
474,Vanilla orchid,1,065,Vanda tessellata (Roxb.) D. Don.,Detailed attachment to the divine
475,Vasevine,1,419,Clematis L. sp.,Sentry
476,Velvet flower,1,752,Amaranthus caudatus L.,Illumined strength in the vital
477,Virgin's bower,1,419,Clematis L. sp.,Sentry
478,Wallflower,1,331,Erysimum cheiri (L.) [Cheiranthus cheiri L.],Optimism
479,Wandering Jew,1,751,Tradescantia zebrina hort. ex Bosse. [Zebrina pendula Schnizl.],Quiet strength in the vital
480,Water hyacinth,1,894,Eichhomia crassipes (Mart.) Solms-Laub.,Krishna's play in the vital
481,Water lily,10,548; 549; 550; 551a; 551b; 552; 553; 554; 555; 556,Nymphaea L. spp.; Nymphaea rubra Roxb.,Wealth; Supramentalised wealth; Wealth in the mind of light; Wealth under the psychic influence; Emotional wealth; Wealth in the vital; Wealth in the most material vital; Generous wealth; Integral wealth of mahalakshmi
482,Wax mallow,1,015,Malvaviscus arboreus Cav. var. drummondii (Torr. & A. Gray) Schery.,Divine help
483,West Indian creeper,1,243,Wedelia Jacq. spp.,Detailed perseverance
484,White flower,3,077; 269; 353,Asystasia gangetica (L.) Anderson. [A. coromandeliana Nees.]; Pseuderanthemum Radlk. sp.; Antigonon leptopus Hook. & Arn. Album',Integral trust in the divine; Integral organisation; Integral harmony
485,White flowers,1,200,Angelonia salicariifolia Humb. & Bonpl.,Integral renunciation of vital desires
486,White ixora,1,811,Ixora thwaitesii Hook. f.,Peace in the cells
487,Wild ginger,2,462; 463,Costus speciosus (J.G. Koenig) Sm. (rose form); Costus speciosus (J.G. Koenig) Sm. (white form),Revelation; Integral revelation
488,Wild sage,1,707,Gmelina philippensis Cham.,Mental voice
489,Wine grape,1,006,Vitis vinifera L.,Divine ananda
490,Winter cherry,1,859,Physalis alkekengi L.,Sun-drop
491,Winter daffodil,1,135,Sternbergia lutea (L.) Roem. & Schult.,Supramental invocation
492,Wishbone flower,1,895,Torenia fournieri Lind. ex E. Fourn.,Krishna's play
493,Wooden rose,2,012; 327,Operculina turpethum (L.) Silva Manso.,Call of the divine grace; Integral gratitude
494,Yellow flower,1,824,Cosmos sulphurous Cav.,Supramental light in the sex centre
495,Yellow oleander,1,689,Thevetia peruviana (Pers.) Schum.,Supramentalised mind
496,Youth-and-old-age,5,228; 230; 233; 234; 238,Zinnia elegans Jacq.,Victorious endurance; Joyful endurance; Psychic endurance; Mental endurance; Integral endurance
497,Zamang,1,455,Albizia saman F. Muell. [Samanea saman (Jacq.) Merrill.],Wisdom
498,Zedoary,1,319,Curcuma zedoaria (Christm.) Roscoe. [C pallida Lour.],Peace
499,Zephyr flower,4,130; 131; 132; 133,Zephyranthes Herb.,Prayer; Psychic prayer; Mental prayer; Vital prayer
500,Zitherwood,1,648,Citharexylum L. spp.,Spiritual ascension
